,Query,Intent
0,can you explain to me how to set up direct deposits into my bank account or internet savings account,direct_deposit
1,I want to switch to direct deposit,direct_deposit
2,set up direct deposit for me,direct_deposit
3,how do i set up direct deposit,direct_deposit
4,I need my paycheck directly deposited into my Chase account,direct_deposit
5,What are the steps to set up a direct deposit into my Chase account?,direct_deposit
6,"If I want to set up direct deposit, how do I do it?",direct_deposit
7,how to deposit my check directly,direct_deposit
8,What do I need to set up direct deposit?,direct_deposit
9,I would like my paycheck to be directly deposited into my Chase account,direct_deposit
10,how to set up direct deposit,direct_deposit
11,can you teach me how to set up direct deposit or show me who can do it,direct_deposit
12,how do i enable direct deposit,direct_deposit
13,direct deposit information,direct_deposit
14,I want to set up a direct deposit into my first Hawaiian bank account,direct_deposit
15,can you tell me how to set up direct deposit,direct_deposit
16,I would like to know how to set up a direct deposit,direct_deposit
17,tell me how to set up direct deposit,direct_deposit
18,tell me how to set up direct deposit for my paycheck,direct_deposit
19,help setting up direct deposit,direct_deposit
20,please help me set up direct deposit,direct_deposit
21,how do i get my paycheck direct deposited,direct_deposit
22,What do I do to have my paycheck directly deposited into my account?,direct_deposit
23,how do i set up direct deposit,direct_deposit
24,have my paycheck go directly into my savings account,direct_deposit
25,"I want to set up direct deposit for my paycheck, what do I do?",direct_deposit
26,What is needed to set up direct deposit,direct_deposit
27,set up direct deposit,direct_deposit
28,tell me how to set up direct deposit,direct_deposit
29,how do i set up direct deposit for my paycheck,direct_deposit
30,I need advice regarding direct deposit,direct_deposit
31,how to set up instant paycheck,direct_deposit
32,I would really like to set up direct deposit for my paycheck,direct_deposit
33,how do i set up direct deposit to my chase account,direct_deposit
34,Could you help me set up a direct deposit?,direct_deposit
35,how do i arrange a direct deposit into my savings account,direct_deposit
36,I need to set up direct deposit for my paycheck,direct_deposit
37,I need to set up direct deposit,direct_deposit
38,how can i have my check deposited directly,direct_deposit
39,how do i get my paycheck deposited directly into my account,direct_deposit
40,how do i direct deposit my paycheck,direct_deposit
41,is there a specific way to set up direct deposit,direct_deposit
42,set up a direct deposit into my money market account for my paycheck,direct_deposit
43,can you tell me how to set up direct deposit,direct_deposit
44,can you show me how to set up direct deposit of my paycheck into my first hawaiian bank account,direct_deposit
45,how do i set up direct deposits from my work to my bank,direct_deposit
46,I have a Great Western bank account that I would like to make direct deposits into.,direct_deposit
47,can you show me how to set up direct deposit,direct_deposit
48,search the web to set up direct deposit,direct_deposit
49,What are the steps to set up direct deposit?,direct_deposit
50,What am I allowed to carry with me on American Airlines?,carry_on
51,What are the transportation rules for United?,carry_on
52,What can't I take with me on board the Delta?,carry_on
53,Tell me about United's continuation policy,carry_on
54,what is the carry-on baggage limit,carry_on
55,What should I know about American's carry-on baggage policy?,carry_on
56,"If I'm travelling abroad, do UK airlines have any restrictions on hand luggage?",carry_on
57,What are the carry-on baggage rules for Delta?,carry_on
58,can i have 3 carry on bags with delta at jfk,carry_on
59,How much hand luggage is allowed on a wow flight to Iceland,carry_on
60,What are the carry-on baggage requirements on United Airlines flights?,carry_on
61,Does Delta allow more than one carry-on bag when traveling to Miami?,carry_on
62,Could you list the carry-on baggage restrictions for US airlines?,carry_on
63,Do I have to pay for carry-on baggage on Delta?,carry_on
64,"If I take a Pan Am flight to Denver, how much carry-on baggage is included?",carry_on
65,How much baggage can I take with me on flights with Singapore Airlines?,carry_on
66,How much carry-on baggage can I take on an American Airlines flight to Seattle?,carry_on
67,"When flying with Porter to Toronto, how much carry-on baggage can I take?",carry_on
68,"On an Allegiant flight to Orlando, how much carry-on baggage can I take?",carry_on
69,Could you please let me know the carry-on baggage restrictions for US airlines?,carry_on
70,How much carry-on baggage can I take on a Delta flight to Mexico City?,carry_on
71,What are the rules regarding carry-on baggage?,carry_on
72,"When flying with Lion to Singapore, how much hand luggage is allowed?",carry_on
73,what are the carry-on baggage rules for flights on virgin airlines,carry_on
74,What is limited in my carry-on baggage with United?,carry_on
75,Does Jet Blue have carry-on baggage restrictions?,carry_on
76,I need to know the carry-on baggage restrictions for United Airlines,carry_on
77,How much carry-on baggage will American allow me to take on a flight to Los Vegas?,carry_on
78,Does Delta have carry-on baggage restrictions?,carry_on
79,How much carry-on baggage can I take on a Jet Blue flight to Washington DC?,carry_on
80,What are the carry-on baggage restrictions for Singapore Airlines?,carry_on
81,Tell me the rules of transportation,carry_on
82,I am traveling with JetBlue and I need to know what is the maximum number of bags I can take,carry_on
83,am i limited on carry-on baggage for jet blue,carry_on
84,Am I allowed to bring carry-on baggage on my Westjet flight to Edmonton?,carry_on
85,What are the carry-on baggage restrictions for United?,carry_on
86,Does United Airlines allow more than one carry-on bag?,carry_on
87,What are the carry-on baggage restrictions for Delta?,carry_on
88,Could you please tell me how much carry-on baggage I can take on a southwest airlines flight to Miami,carry_on
89,Is there a weight limit for carry-on baggage?,carry_on
90,Please find below the rules regarding carry-on baggage when traveling with Spirit Airlines.,carry_on
91,What are the carry-on baggage restrictions for Southwest Airlines?,carry_on
92,How does Spirit Airlines allow my carry-on baggage for a flight to Dallas?,carry_on
93,Can you tell me Jet Blue Airlines' policy regarding carry-on baggage?,carry_on
94,What is the carry-on baggage policy for flights on Delta Airlines?,carry_on
95,Find carry-on baggage rules for flights on Delta Airlines,carry_on
96,Hand baggage restrictions for Emirates flights,carry_on
97,What are Delta's carry-on baggage rules?,carry_on
98,tell me the carry-on baggage restrictions for United Airlines,carry_on
99,let me know the rules for hand luggage for continental flights,carry_on
100,volume for whispering voice,whisper_mode
101,I want whisper mode to be turned off,whisper_mode
102,let's get out of whisper mode,whisper_mode
103,I want your setting to be set to whisper voice now,whisper_mode
104,Switch to whisper mode now please,whisper_mode
105,turn up the volume,whisper_mode
106,exit whisper mode,whisper_mode
107,please return to normal mode,whisper_mode
108,start using whisper mode immediately,whisper_mode
109,go to whisper,whisper_mode
110,I think we should whisper,whisper_mode
111,turn on the whispered voice,whisper_mode
112,"I'm going to need you to shut up now, please.",whisper_mode
113,switch to silent mode,whisper_mode
114,Please turn on whisper mode because I'm about to be in class,whisper_mode
115,I want whisper mode,whisper_mode
116,switch to whisper mode please,whisper_mode
117,go into whisper mode now,whisper_mode
118,increase the volume,whisper_mode
119,"I can't hear you, stop whispering!",whisper_mode
120,shush please speak quietly,whisper_mode
121,Can you whisper until I tell you not to?,whisper_mode
122,I need you to go into whisper mode,whisper_mode
123,please enable whisper mode,whisper_mode
124,Can you go to the whispered voice,whisper_mode
125,I need your setting to be put into whisper mode immediately,whisper_mode
126,stop using whisper mode,whisper_mode
127,Please speak softly,whisper_mode
128,use your calm voice,whisper_mode
129,whisper from now on please,whisper_mode
130,switch to whisper mode,whisper_mode
131,activate your whisper mode,whisper_mode
132,Please turn off whisper mode for now.,whisper_mode
133,can you please turn the volume down please,whisper_mode
134,switch to whisper mode please,whisper_mode
135,I want to get out of whisper mode,whisper_mode
136,I want you to be in whisper mode now because I'm in the library,whisper_mode
137,exit whisper mode,whisper_mode
138,whisper from now on,whisper_mode
139,Please speak in a whispered voice,whisper_mode
140,start using whisper mode,whisper_mode
141,please switch to whisper mode for now,whisper_mode
142,let's use the whispered voice,whisper_mode
143,6 inch voices please,whisper_mode
144,speak in a low voice,whisper_mode
145,I decide to get out of whisper mode,whisper_mode
146,Let's start whispering,whisper_mode
147,can you switch to whisper mode,whisper_mode
148,make sure you put yourself in whisper mode before going to the movie,whisper_mode
149,I want you to use the whisper voice now,whisper_mode
150,please send a text message,text
151,write a text message to someone,text
152,text mom to ask where you are,text
153,Send a message to Chris and tell him you love me,text
154,send someone a text message,text
155,Can you message Arthur and tell him I'm almost there?,text
156,Send Billy a message and tell him to be at the meeting on Monday at 3pm.,text
157,Can you send Christopher a message and tell him I'm on my way?,text
158,send me a text message,text
159,Please text Ann and tell her I'll be home in 20 minutes.,text
160,please text Natalie from me,text
161,I want to send a text message,text
162,Text Matt and tell him I'll be late tonight,text
163,Send a message to my boss for me and tell him I'll be a little late,text
164,send a message to Chris telling him to stop for milk on the way home,text
165,I have to send a message,text
166,Send a message to my dad for me and tell him I love you,text
167,Text Josh and tell him I need a delivery,text
168,text and tell Chris I'm not working today,text
169,Can you send me a message?,text
170,Send a message to my friend for me and tell him to meet me later,text
171,Text Christopher and tell him I'll be by,text
172,Can you send a message to Sergeant Adam and tell him I found the missing girl?,text
173,send a message to Alice,text
174,I need you to send a message to someone for me,text
175,I need Sal to get a message to say I'll be there,text
176,send a message to Chris and ask him what he wants for dinner,text
177,send a text message,text
178,Send Sal a message and say hello,text
179,text Sal and let them know the answer is yes,text
180,write a text message,text
181,Text my doctor to tell him it happened again.,text
182,write a text to Alice,text
183,can you text someone,text
184,text Sal I'll be there,text
185,Start a new message to Maureen and tell her I'm going to pick up Mom's Christmas present.,text
186,create new text,text
187,Text Bill and tell him I'll be 30 minutes late,text
188,create a text message for,text
189,set up a new text message,text
190,send a message to my cousin Linda saying happy birthday,text
191,Send a message to my mother for me and tell her I'll be home soon.,text
192,Send a message to Tony and invite him to my party next Saturday,text
193,text Chris and ask him what time he'll be home,text
194,Text Christy and ask her what she wants for dinner,text
195,I have to send a text message,text
196,Send a message to Nick and tell him the car is ready,text
197,I need to send a text message,text
198,text robby hello,text
199,Can you text Elizabeth and tell her I forgot to bring drinks?,text
200,I need a blackberry pie recipe,recipe
201,find a german chocolate cake recipe,recipe
202,please find me a spaghetti recipe now,recipe
203,can you find me a sugar cookie recipe,recipe
204,I need a recipe to make beef stew,recipe
205,I need you to find me a recipe for fried shrimp,recipe
206,What is the best way to make chicken stir fry,recipe
207,Can you explain to me how to make a German chocolate cake?,recipe
208,please help me with instructions on how to make chicken curry,recipe
209,how to make the perfect omelette,recipe
210,how to make blackberry pie,recipe
211,I need the best mashed potatoes recipe,recipe
212,Can you find me a pie recipe?,recipe
213,search for a macaroni and cheese recipe,recipe
214,I need to know how to make Philadelphia cheesesteaks,recipe
215,can you give me a recipe for german chocolate cake,recipe
216,what is a good chili recipe,recipe
217,I need help finding a recipe for enchiladas,recipe
218,how do you make pork chili,recipe
219,please give me instructions to make blueberry pie,recipe
220,is there a good website to teach me how to make sushi,recipe
221,how to make pumpkin pie,recipe
222,is there a chili recipe i can use,recipe
223,can you find me a quiche recipe,recipe
224,how to make lassagna,recipe
225,what do i do to make a blackberry pie,recipe
226,Can you give me a recipe for mashed potatoes?,recipe
227,I need a chicken pie recipe,recipe
228,what do you need to bake an apple pie,recipe
229,can you find me a recipe for honey ham,recipe
230,where can i look to learn how to make sushi,recipe
231,I'm looking for a vegan Italian pasta recipe,recipe
232,what do you need to do to make sushi,recipe
233,how to make beef stroganoff,recipe
234,I need a quick recipe for spiralized ham,recipe
235,can you search for the best new york style cheesecake recipes please,recipe
236,Can you find me a recipe for ribs?,recipe
237,Please show me a chili recipe,recipe
238,how to cook apple pie,recipe
239,Can you find me a recipe for coffee cakes?,recipe
240,tell me how to make chow mein,recipe
241,find a good meatloaf recipe,recipe
242,how to make lemon meringue pie,recipe
243,how do i make chicken pie,recipe
244,I need a beef recipe,recipe
245,can you find me a pasta recipe,recipe
246,Can you find me a salsa recipe?,recipe
247,blackberry pie instructions,recipe
248,how do you cook meatloaf,recipe
249,look for easy to follow recipes for beef ribs,recipe
250,Please turn on my fan,smart_home
251,please turn on the fan,smart_home
252,Can you run the fan here?,smart_home
253,lock all doors,smart_home
254,what is the air conditioning setting,smart_home
255,Can you lock all the doors in the house?,smart_home
256,Turn on the TV please,smart_home
257,start my vehicle,smart_home
258,don't forget to lock the doors,smart_home
259,what is the temperature of the air conditioning,smart_home
260,"I need air, turn on the fan",smart_home
261,turn on the fan,smart_home
262,please check the door to see who is there,smart_home
263,turn on the bedroom lights,smart_home
264,please set the temperature to 70,smart_home
265,turn on the garage lights,smart_home
266,make sure all doors are locked,smart_home
267,Can you please dim the lights?,smart_home
268,please turn down the brightness,smart_home
269,what temperature is the air conditioning set to,smart_home
270,Can you start my car?,smart_home
271,set the temperature to 75,smart_home
272,what is the temperature on the air conditioning,smart_home
273,warm up my car for me,smart_home
274,on the living room lights come on,smart_home
